sku,type,variant key,Product name,Product description,Product key,category,Product price mode,brand,Premium Wet Pet Food,Premium Dry Pet Food,weight,price EUR,price PLN, price GBP,url
R-C-RC-WD1,RCR001,pet-crates-and-tanks,rabbit_crate,Woodlands Seagrass Rabbit Hideaway,rabbit_crate_001,Small animal>Rabbit,Woodlands,One size,"EUR",17,"PLN",70,"GBP",14,rabbit_crate1
R-C-RC-PH1,RCR002,pet-crates-and-tanks,rabbit_crate,Pets at Home Rabbit Home 120 Indoor Cage Pink,rabbit_crate_002,Small animal>Rabbit,Pets at Home,120,"EUR",59,"PLN",250,"GBP",50,rabbit_crate2
R-C-RC-WD2,RCR003,pet-crates-and-tanks,rabbit_crate,Woodlands Carrot Rabbit Cottage,rabbit_crate_003,Small animal>Rabbit,Woodlands,Large,"EUR",17,"PLN",75,"GBP",15,rabbit_crate3

R-T-RT-QK1,RTR001,pet-toys,rabbit_toys,Quiko Snack and Play Rabbit Fitness Carrot 100g,rabbit_toys_001,Small animal>rabbit,Quiko,100g,"EUR",8,"PLN",35,"GBP",7,rabbit_toys1
R-T-RT-PH4,RTR002,pet-toys,rabbit_toys,Pets at Home Rabbit Carrot Toy Orange,rabbit_toys_002,Small animal>rabbit,Pets at Home,One size,"EUR",1,"PLN",5,"GBP",1,rabbit_toys2

//Hamster
H-F-HF-TFF1,HFF001,"pet-food",hamster_food,Tiny Friends Farm Harry Hamster Tasty Mix Muesli Food 700g,hamster_food_001,Small animal>Hamster,Tiny Friends Farm,0.7,"EUR",4,"PLN",15,"GBP",3,hamster_food1
H-F-HF-TFF2,HFF002,"pet-food",hamster_food,Tiny Friends Farm Small Animal Bathing Sand 1kg,hamster_food_002,Small animal>Hamster,Tiny Friends Farm,1,"EUR",6,"PLN",25,"GBP",5,hamster_food2
H-F-HF-PH1,HFF003,"pet-food",hamster_food,Pets at Home Small Animal Hamster Muesli Food 1kg,hamster_food_003,Small animal>Hamster,Pets at Home,1,"EUR",4,"PLN",15,"GBP",3,hamster_food2

H-T-HT-VK1,HTT001,pet-treats,hamster_treats,Vitakraft Kracker Sticks Hamster Treat Fruit & Flakes x2 66g,hamster_treats_001,Small animal>Hamster,Vitakraft Kracker,0.132,"EUR",4,"PLN",15,"GBP",3,rabbit_treats1
H-T-HT-VK2,HTT002,pet-treats,hamster_treats,Vitakraft Kracker Sticks Hamster Treat Grape & Nut x2 66g,hamster_treats_002,Small animal>Hamster,Vitakraft Kracker,0.132,"EUR",4,"PLN",15,"GBP",3,rabbit_treats2
